21,7,14,2,10,20,4,16,8,24,12,6,18,9,3,15,5,25,1,11,22
21,7,14,2,10,20,4,16,8,24,12,6,18,9,3,15,5,25,1,22,11
21,7,14,2,22,11,1,10,20,4,16,8,24,12,6,18,9,3,15,5,25
21,7,14,2,22,11,1,15,3,9,18,6,12,24,8,16,4,20,10,5,25
21,7,14,2,22,11,1,25,5,10,20,4,16,8,24,12,6,18,9,3,15
21,7,14,2,22,11,1,25,5,15,3,9,18,6,12,24,8,16,4,20,10
22,11,1,9,18,6,12,24,8,16,4,20,10,2,14,7,21,3,15,5,25
22,11,1,21,7,14,2,10,20,4,16,8,24,12,6,18,9,3,15,5,25
22,11,1,25,5,15,3,9,18,6,12,24,8,16,4,20,10,2,14,7,21
22,11,1,25,5,15,3,21,7,14,2,10,20,4,16,8,24,12,6,18,9
23,1,9,18,6,12,24,8,16,4,20,10,5,15,3,21,7,14,2,22,11
23,1,11,22,2,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,15
23,1,11,22,2,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,25
23,1,11,22,2,14,7,21,3,15,5,10,20,4,16,8,24,12,6,18,9
23,1,15,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,22,11
23,1,25,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,22,11
25,1,9,18,6,12,24,8,16,4,20,10,5,15,3,21,7,14,2,22,11
25,1,11,22,2,14,7,21,3,9,18,6,12,24,8,16,4,20,10,5,15
25,1,11,22,2,14,7,21,3,15,5,10,20,4,16,8,24,12,6,18,9
25,1,15,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,22,11
25,5,10,20,4,16,8,24,12,6,18,9,1,11,22,2,14,7,21,3,15
25,5,10,20,4,16,8,24,12,6,18,9,1,15,3,21,7,14,2,22,11
25,5,10,20,4,16,8,24,12,6,18,9,3,15,1,11,22,2,14,7,21
25,5,10,20,4,16,8,24,12,6,18,9,3,15,1,21,7,14,2,22,11
25,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,22,11,1,13
25,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,22,11,1,15
25,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,22,11,1,17
25,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,22,11,1,19
25,5,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,22,11,1,23
25,5,15,1,10,20,4,16,8,24,12,6,18,9,3,21,7,14,2,22,11
25,5,15,1,11,22,2,10,20,4,16,8,24,12,6,18,9,3,21,7,14
25,5,15,1,11,22,2,14,7,21,3,9,18,6,12,24,8,16,4,20,10
25,5,15,1,14,7,21,3,9,18,6,12,24,8,16,4,20,10,2,22,11
25,5,15,3,9,18,6,12,24,8,16,4,20,10,1,11,22,2,14,7,21
25,5,15,3,9,18,6,12,24,8,16,4,20,10,1,21,7,14,2,22,11
25,5,15,3,9,18,6,12,24,8,16,4,20,10,2,14,7,21,1,11,22
25,5,15,3,9,18,6,12,24,8,16,4,20,10,2,14,7,21,1,22,11
25,5,15,3,9,18,6,12,24,8,16,4,20,10,2,22,11,1,14,7,21
25,5,15,3,9,18,6,12,24,8,16,4,20,10,2,22,11,1,21,7,14
25,5,15,3,21,7,14,1,9,18,6,12,24,8,16,4,20,10,2,22,11
25,5,15,3,21,7,14,1,11,22,2,10,20,4,16,8,24,12,6,18,9
25,5,15,3,21,7,14,2,10,20,4,16,8,24,12,6,18,9,1,11,22
25,5,15,3,21,7,14,2,10,20,4,16,8,24,12,6,18,9,1,22,11
25,5,15,3,21,7,14,2,22,11,1,9,18,6,12,24,8,16,4,20,10
25,5,15,3,21,7,14,2,22,11,1,10,20,4,16,8,24,12,6,18,9
